RefSeq_accession_number,gene_symbol,gene_name,AO-A12D.01TCGA,C8-A131.01TCGA,AO-A12B.01TCGA,BH-A18Q.02TCGA,C8-A130.02TCGA,C8-A138.03TCGA,E2-A154.03TCGA,C8-A12L.04TCGA,A2-A0EX.04TCGA,AO-A12D.05TCGA,AN-A04A.05TCGA,BH-A0AV.05TCGA,C8-A12T.06TCGA,A8-A06Z.07TCGA,A2-A0CM.07TCGA,BH-A18U.08TCGA,A2-A0EQ.08TCGA,AR-A0U4.09TCGA,AO-A0J9.10TCGA,AR-A1AP.11TCGA,AN-A0FK.11TCGA,AO-A0J6.11TCGA,A7-A13F.12TCGA,BH-A0E1.12TCGA,A7-A0CE.13TCGA,A2-A0YC.13TCGA,AO-A0JC.14TCGA,A8-A08Z.14TCGA,AR-A0TX.14TCGA,A8-A076.15TCGA,AO-A126.15TCGA,BH-A0C1.16TCGA,A2-A0EY.16TCGA,AR-A1AW.17TCGA,AR-A1AV.17TCGA,C8-A135.17TCGA,A2-A0EV.18TCGA,AN-A0AM.18TCGA,D8-A142.18TCGA,AN-A0FL.19TCGA,BH-A0DG.19TCGA,AR-A0TV.20TCGA,C8-A12Z.20TCGA,AO-A0JJ.20TCGA,AO-A0JE.21TCGA,AN-A0AJ.21TCGA,A7-A0CJ.22TCGA,AO-A12F.22TCGA,A8-A079.23TCGA,A2-A0T3.24TCGA,A2-A0YD.24TCGA,AR-A0TR.25TCGA,AO-A03O.25TCGA,AO-A12E.26TCGA,A8-A06N.26TCGA,A2-A0YG.27TCGA,BH-A18N.27TCGA,AN-A0AL.28TCGA,A2-A0T6.29TCGA,E2-A158.29TCGA,E2-A15A.29TCGA,AO-A0JM.30TCGA,C8-A12V.30TCGA,A2-A0D2.31TCGA,C8-A12U.31TCGA,AR-A1AS.31TCGA,A8-A09G.32TCGA,C8-A131.32TCGA,C8-A134.32TCGA,A2-A0YF.33TCGA,BH-A0DD.33TCGA,BH-A0E9.33TCGA,AR-A0TT.34TCGA,AO-A12B.34TCGA,A2-A0SW.35TCGA,AO-A0JL.35TCGA,BH-A0BV.35TCGA,A2-A0YM.36TCGA,BH-A0C7.36TCGA,A2-A0SX.36TCGA,263d3f-I.CPTAC,blcdb9-I.CPTAC,c4155b-C.CPTAC
NP_076965,AHNAK,neuroblast differentiation-associated protein AHNAK isoform 2,0.261785384,-0.03737115,1.019685122,-0.724639359,-0.703971188,-0.156973535,1.581465934,-0.023526544,1.7328799,0.840483251,-1.624335307,-0.054336253,1.51630873,-1.964172666,-0.54722472,0.233674894,-2.236844911,-0.787452304,-0.531536536,-0.465665934,2.424875833,3.405817729,0.214521421,1.807970871,-2.742347936,0.86618582,0.955137596,1.21734868,1.788361449,0.98149504,0.637820439,-2.534210713,0.30878995,-1.760292787,-1.413094404,2.154305697,1.956908602,1.149947323,0.159048035,-1.117407347,-1.025399566,-2.231441578,0.963052744,1.142875119,0.730382487,0.901828611,1.222786424,-1.915778423,3.489249868,1.053411639,1.385014054,-3.33E-05,-1.37588178,0.077658657,0.534411516,-1.565942366,1.146680546,-1.255175526,1.509780114,-1.270276849,0.811219052,1.655071239,-1.662823846,-1.406027607,-1.35270604,1.03875487,-0.113978758,-0.680026537,-1.858935647,2.495563414,1.691445278,2.34128962,-0.061072427,1.645504542,0.358074874,-3.466189077,-0.503451704,1.300157735,0.721860314,0.572662788,3.846468335,1.088442049,3.480988422
NP_001367,DYNC1H1,cytoplasmic dynein 1 heavy chain 1,0.924690265,1.39962658,-1.230751665,-0.085671423,-0.78596791,1.507024786,0.064821492,0.878448263,0.187113271,0.858807533,1.413789678,-0.19266749,-0.825409492,-0.378820023,0.654015399,-1.61722444,-0.598848545,0.727019456,0.036110512,0.051495592,-1.119297666,-0.210599754,-0.705508377,0.445228507,-0.375133241,-0.400741208,-0.10777577,-0.552465273,-1.141016903,1.132641997,-0.065446575,-0.387322683,0.058955995,-0.061976199,-0.457283456,-0.217966084,-0.247164297,-0.664630112,1.203708014,0.793858924,1.63062958,0.001289303,0.172315824,-0.802475943,-0.772398021,-0.801262647,0.124293207,0.514823325,-1.401224437,-0.161005895,-0.805222022,-0.876608585,-0.302935538,0.367955008,0.303355519,0.773867762,-0.334710666,1.561577801,0.088544975,0.437232994,-0.275851969,2.020876163,0.685014345,0.077553176,0.342021587,0.519300896,0.097292236,1.450312278,-0.022290647,-0.5025673,0.077244886,-0.399720952,-0.511421193,-1.57485952,-1.246783783,-0.241688292,-0.254807795,-0.325516328,-2.553688033,-1.211884302,-1.024005246,-0.328097401,-0.547033749
NP_036222,MACF1,microtubule-actin cross-linking factor 1,-0.58018001,-0.134520292,0.781338369,-0.306466626,-0.917162665,-1.305315233,0.395999435,-1.057096459,-0.687070283,-0.698756504,-0.130013246,-0.557052214,-0.638412029,0.3708103,-0.672124305,-2.718392399,-1.471426048,0.724014551,-1.075028391,-0.958003708,-0.415157235,-0.555020467,-0.388118185,1.065840475,-1.369363413,1.039845599,-0.269862265,-0.273020964,-1.024059364,-0.573159374,-1.752518808,0.549501184,-1.477522828,-1.365971004,-0.775887105,-1.707054432,-1.022930743,-0.664630112,0.007228937,0.177981208,-1.475097623,1.88384282,-1.527924826,-0.704362585,-2.061014156,-1.833292343,0.638050034,1.322561292,-0.296498279,-0.590532708,-1.399334642,2.129807701,0.293448286,0.503607508,0.514687224,-1.373212341,0.69248041,1.137906326,-0.468191904,0.448437127,-1.79685669,0.188432802,1.08866476,0.493354965,0.568961356,-0.643286569,-0.59268139,-0.034469321,1.355193103,-0.441999003,-0.95040013,-1.110353322,-2.041874721,0.860398055,-2.134441076,-1.88690583,-1.100197086,-1.621011175,-1.998094342,-2.534653763,0.37412626,0.041297359,-0.330095146
NP_001138241,NA,bullous pemphigoid antigen 1 isoform 2,-0.012520084,0.756013512,-1.092177972,0.737292515,-1.13363401,-0.504401755,-1.523327278,-0.026268109,0.093316753,-0.178346873,0.661680561,-0.030718724,-0.727660818,-0.078547932,-1.436215879,-1.500078913,-1.750803933,-0.324697044,0.172989942,2.298045264,-1.267949534,0.658921389,0.861354598,0.896582666,-0.056348329,-0.088942967,-1.335892679,-0.903561968,-0.455591328,-0.33204399,-1.760204786,0.58295918,0.91671924,-2.142902041,0.086216886,0.124353076,-0.109934853,-0.341945441,5.675141903,-1.501478691,2.806402624,-1.318179009,-0.671553617,-0.28146018,0.058850134,-1.835714948,-2.390411265,0.534524251,-1.477071308,1.93409611,0.415516844,1.663090594,-1.855167411,-0.068846043,0.33153308,0.452651054,-1.085887814,1.121356659,-0.184636475,0.629944079,-0.074542521,0.438000648,1.621927693,-0.594382515,1.740263388,-0.456000442,-0.921622305,0.725009758,1.040844247,2.147295705,-1.621419479,1.579897795,-0.767717238,-1.226557733,0.908036458,-0.850795548,0.08003267,0.699414993,-1.031941458,-0.377705362,1.458557079,0.201263181,0.879679586
NP_001714,DST,bullous pemphigoid antigen 1 isoform 1e precursor,-0.1877708,0.173118658,-1.785046441,2.04199144,-0.520298532,-0.182573509,-2.343745363,-0.59103045,0.734884941,-0.273633143,1.258749641,2.239937936,1.720305962,-0.582501091,-0.150484864,-1.232317707,-2.056971478,-0.694300271,0.599731695,2.28977068,-1.655226771,1.398578985,1.660856475,3.036174975,-0.668667863,-0.50335835,1.98999753,-2.107322065,-5.082213962,-0.681121486,0.13823185,-0.183786545,0.508657114,-2.771474387,-0.486734214,0.179124142,0.024493989,-0.652057982,5.187151947,-1.892367869,2.984408105,-1.923285497,-1.921730565,0.591410383,0.628745158,-2.140963167,-1.575836295,1.246220204,-1.77386341,2.131863851,0.513057722,0.594616406,-2.222801275,0.484616158,0.072299522,0.706243192,-1.865015739,0.790363318,0.672945799,0.027161733,-0.150592757,-0.026947667,1.729320922,-0.002280768,1.392533098,-0.43833194,-2.622487521,0.413623336,1.11148444,2.510705488,-1.623765701,6.70269818,-0.972754074,-2.585505688,-0.626066908,-1.569793289,0.036934392,-0.451626446,-0.87128786,0.146635686,4.617198469,0.55487184,2.054275086
NP_002464,MYH9,myosin-9,2.044770925,1.593924864,-1.266780826,1.028340736,0.109436291,1.254682183,0.418579749,0.116293259,1.151341484,1.961929358,1.308230504,0.897112749,-0.468414336,-0.246532319,-0.308446103,-0.358746773,-1.215010729,-0.186471447,-0.024277472,-0.416018428,0.347661564,0.636336425,0.945724143,-0.105944359,-1.741805192,0.881973072,-1.516681463,0.533068386,-0.852702971,1.132641997,-0.522762283,-1.2126199,-0.124255572,-1.295695835,-0.291288278,0.230472016,0.002089182,0.915267563,2.262826954,-0.03109905,0.562596696,0.149764506,-0.449647208,-0.511519088,0.650524585,-0.944196337,-0.210324727,-0.226424016,-0.309689039,0.787661237,-0.001248725,-3.120167469,-0.371015884,-2.071076948,-0.973087979,0.040141176,-0.121585987,3.014638566,0.26490262,-0.490469204,0.377285352,0.872180325,-0.540749758,0.932441654,-0.587699401,0.452160586,-0.654190667,1.594613303,1.425833296,-1.134748902,-1.271832476,0.096159878,-0.042765566,-1.808963999,-0.494204773,0.317183315,-0.821715908,0.064278581,-1.989169142,-0.204911153,-0.86174627,-0.697492162,-0.513808918
NP_001073936,MYO5B,unconventional myosin-Vb,-0.065857258,-0.875282502,-2.281140264,1.868031583,-0.976200304,0.464740124,-2.77653472,1.245817941,0.273406069,-0.174682016,0.044819136,-0.580669743,2.056051406,0.144031379,0.136049476,-2.018866249,1.272600575,1.048544214,1.779310313,-1.197966656,-1.424425185,-1.503588987,-0.22741429,-1.234329756,-0.476134402,-1.924211091,2.049221442,-1.319145811,-0.148237796,-0.979816663,3.435516534,-0.289736864,-1.052805105,-4.559587025,-0.861562036,-2.645008931,-1.272184222,1.200235843,-1.301307092,-0.806059572,-0.435170867,-2.385519619,-3.409441134,-0.995319439,-0.482005652,-3.267474455,-2.082833164,-1.630114995,-0.032683077,-2.503317577,-1.653532081,1.445131336,-1.258783586,-0.318446644,0.117383619,-0.030864623,-0.851800051,3.080837234,0.251070648,0.17281546,-1.206348975,-0.673089076,-3.103374408,-1.595633223,3.460613248,0.102324237,-1.100801502,-0.767366631,-3.031562839,-0.078589219,-0.305189218,-0.028786473,-1.437748328,-2.953792004,-0.6903899,-2.860221549,-0.874759941,-1.038611722,-1.562990849,-2.540612184,-1.702788627,-1.289997147,-1.549641888
NP_061198,MYO5C,unconventional myosin-Vc,-0.351592121,-1.021006216,0.016411579,-0.881872306,-1.517378667,2.073881356,1.442220663,-1.402533619,1.725376178,0.07452823,-0.548951219,-0.452460303,-0.506663817,0.299416936,-1.590503601,-0.569608723,-1.414019633,-0.568094291,0.358179759,-0.316723415,0.523696671,0.300385074,0.443524471,1.031120925,-0.678136722,0.676738788,2.856536872,-0.903561968,-1.587087516,-0.371630098,2.663075717,-1.000719263,-0.557301094,-2.06481852,1.545368052,-0.793062273,-0.448807561,2.595742277,-0.975980454,-0.07655128,1.902322156,-0.186405764,-2.674962177,1.220689161,-0.648981264,-1.099243052,0.496090911,-0.53178837,-0.982417804,-0.296971217,-1.047596324,1.184527876,-0.439096229,2.644203963,0.227276105,-0.095107965,0.944037409,0.075417703,-0.112018621,-1.510045291,-0.378743465,0.561075202,-2.040551757,-1.213095577,-0.983013836,0.982215662,1.733973859,-1.029386914,-2.653637811,1.859596293,-0.624275342,0.068827864,-2.082149814,0.303686183,-1.899662154,-2.200878642,1.233740408,-0.777219841,-1.246146254,-1.214863512,0.030678095,-0.960593843,-0.861692444
NP_001074248,MYO1C,unconventional myosin-Ic isoform a,0.318932356,-0.438111362,0.0884699,0.780782479,-0.608854991,-0.387373302,2.443281262,-0.887119444,1.035033801,-0.006098614,-0.024454072,2.573957266,-1.0974058,-1.61770487,-0.716206511,-0.783817687,-1.215010729,-0.850555294,2.608638625,1.375429101,-0.027879999,4.280985114,0.656457132,4.160220428,0.29084316,0.116291318,-0.160765586,1.203018202,3.33600888,0.880730402,0.00372723,-0.833429287,1.099930807,-1.732963554,-0.59918256,1.277968647,4.1581809,0.10226982,1.189249052,-0.081096503,0.834289272,-0.30126394,0.93179832,1.660507662,0.476289164,-1.523198913,-3.120486757,-1.548848676,-0.718602602,0.651695915,2.313130286,0.156328767,-1.392221063,2.117872261,-0.891373053,0.293733314,0.881148159,0.025768702,1.848663432,-0.445652673,-0.284799056,0.920042652,-0.985135535,-0.295005227,-1.187991692,-0.152102199,0.252402586,-0.106619833,-0.45672783,1.435618212,-0.497579381,2.82545673,0.557699454,0.306541116,1.708857712,0.486728633,1.54868936,3.89573325,-0.574524965,2.857717241,3.960049618,1.791449741,3.989132898
NP_001074419,MYO1C,unconventional myosin-Ic isoform b,0.318932356,-0.438111362,0.0884699,0.787473242,-0.621974467,-0.387373302,2.435754491,-0.884377879,1.046289383,0.012225668,0.025026791,2.563835468,-1.122905454,-1.645002333,-0.705185959,-0.783817687,-1.306860993,-0.850555294,2.616690357,1.28027138,0.058181609,4.410848661,0.66047473,4.15154054,0.287686873,0.120238131,-0.15453149,1.174357248,3.303369567,0.923915247,0.00372723,-0.808335791,1.087439109,-1.73686773,-0.596505219,1.349855671,4.107770084,0.11065124,1.189249052,-0.03109905,0.824920562,-0.315271035,0.966178186,1.660507662,0.472659259,-1.496550259,-3.093446924,-1.516834671,-0.708709532,0.676416883,2.375201754,0.156328767,-1.392221063,2.117872261,-0.891373053,0.293733314,0.86717277,0.025768702,1.86941139,-0.463579285,-0.284799056,0.926880127,-0.992541965,-0.295005227,-1.187991692,-0.152102199,0.2711228,-0.087632856,-0.481451897,1.420476138,-0.492886938,2.864502465,0.557699454,0.306541116,1.737803058,0.496147818,1.568580872,3.902611984,-0.570062365,2.887509346,3.862694233,1.791449741,3.967634477
